"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","32","3.109","25.0","21.9","21.9","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","100
002","32","2.516","12.5","12.5","12.5","15.6","37.5","6.3","3.1",".",".",".",".",".",".",".",".","."
"","100
003","36","3.153","33.3","11.1","27.8","13.9","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"","100
004","32","3.031","25.0","15.6","15.6","28.1","15.6",".",".",".",".",".",".",".",".",".",".","."
"","100
005","35","3.314","51.4","2.9","22.9","8.6","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"","100
006","35","3.014","25.7","14.3","20.0","17.1","22.9",".",".",".",".",".",".",".",".",".",".","."
"","100
007","36","3.083","36.1","5.6","19.4","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"","100
008","34","2.853","17.6","20.6","11.8","26.5","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","100
009","37","2.865","18.9","10.8","35.1","10.8","18.9","2.7","2.7",".",".",".",".",".",".",".",".","."
"","100
010","35","3.029","28.6","20.0","14.3","14.3","17.1","5.7",".",".",".",".",".",".",".",".",".","."
"","100
011","36","2.972","22.2","13.9","27.8","19.4","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","100
012","35","3.129","31.4","11.4","28.6","14.3","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"","100
013","35","2.671","20.0","2.9","28.6","17.1","20.0","8.6","2.9",".",".",".",".",".",".",".",".","."
"","100
014","33","2.682","18.2","12.1","21.2","15.2","21.2","9.1","3.0",".",".",".",".",".",".",".",".","."
"","100
015","37","3.054","21.6","21.6","18.9","21.6","16.2",".",".",".",".",".",".",".",".",".",".","."
"","100
100","19","2.711","26.3","10.5","15.8","15.8","21.1",".","10.5",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","539","2.959","26.0","13.0","21.7","16.7","18.2","3.3","1.1",".",".",".",".",".",".",".",".","."
"","211
001","36","3.097","25.0","8.3","41.7","11.1","13.9",".",".",".",".",".",".",".",".",".",".","."
"","211
002","32","2.938","25.0","18.8","25.0","6.3","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"","211
003","34","3.015","26.5","5.9","38.2","8.8","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"","211
004","38","2.947","26.3","5.3","28.9","15.8","21.1","2.6",".",".",".",".",".",".",".",".",".","."
"","211
005","38","3.079","26.3","10.5","31.6","21.1","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"","211
006","34","2.926","20.6","8.8","32.4","17.6","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"","211
007","38","3.066","21.1","7.9","50.0","10.5","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"","211
008","38","3.171","31.6","5.3","47.4","2.6","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"","211
009","38","3.184","28.9","10.5","42.1","10.5","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","211
010","38","2.974","18.4",".","55.3","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","211
011","38","3.000","15.8","7.9","52.6","13.2","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","402","3.039","24.1","8.0","40.8","11.7","12.9","2.0","0.5",".",".",".",".",".",".",".",".","."
"","300
001","174","3.276","28.2","33.3","20.7","9.2","5.7","1.7","1.1",".",".",".",".",".",".",".",".","."
"","300
002","54","3.377","27.8","35.2","20.4","13.0","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","300
003","51","3.353","33.3","29.4","17.6","13.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"","300
004","38","3.250","31.6","23.7","26.3","5.3","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","317","3.302","29.3","31.9","20.8","10.1","5.7","1.3","0.6","0.3",".",".",".",".",".",".",".","."
"","301
001","32","3.188","37.5","21.9","12.5","9.4","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","301
002","42","3.226","23.8","38.1","16.7","2.4","19.0",".",".",".",".",".",".",".",".",".",".","."
"","301
003","39","3.423","48.7","7.7","30.8","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","301
004","40","2.963","22.5","7.5","42.5","10.0","10.0","7.5",".",".",".",".",".",".",".",".",".","."
"","301
005","42","3.345","31.0","11.9","54.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","301
006","41","3.183","22.0","31.7","26.8","9.8","4.9","4.9",".",".",".",".",".",".",".",".",".","."
"","301
007","36","3.139","19.4","30.6","30.6","8.3","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","272","3.211","29.0","21.3","31.3","6.3","8.8","3.3",".",".",".",".",".",".",".",".",".","."
"","302
001","40","3.288","22.5","22.5","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 50 of 469"
