"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","247","2.703","17.8","20.6","17.4","10.1","18.6","10.9","4.0",".",".",".",".",".",".","0.4",".","."
"","101
002","237","2.591","12.2","12.7","22.8","14.3","25.7","10.1","2.1",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","484","2.648","15.1","16.7","20.0","12.2","22.1","10.5","3.1",".",".",".",".",".",".","0.2",".","."
"","102
001","12","2.958","16.7",".","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.036","28.6","7.1","21.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","16","2.875","12.5","31.3","18.8","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","102
004","9","3.111","11.1","22.2","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","2.900","13.3","20.0","26.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","102
006","14","2.964","7.1","21.4","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
007","13","3.269","7.7","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","12","3.417","33.3","33.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
009","15","3.333","33.3","20.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","9","3.167","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","19","3.289","21.1","31.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","12","2.708","16.7","16.7","16.7","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"","102
014","14","3.357","42.9","21.4","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","174","3.109","20.7","22.4","30.5","16.7","7.5","1.7","0.6",".",".",".",".",".",".",".",".","."
"General Botany","130
001","35","2.814","22.9","11.4","28.6","2.9","22.9","11.4",".",".",".",".",".",".",".",".",".","."
"","151
001","317","3.074","27.1","10.4","38.8","6.3","12.3","4.7",".",".",".",".",".",".","0.3",".",".","."
"","151
002","290","2.967","20.0","12.4","41.7","3.8","16.9","3.8","1.0",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","Course Total","607","3.023","23.7","11.4","40.2","5.1","14.5","4.3","0.5",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","152
001","386","3.315","39.6","15.0","29.8","3.4","8.8","2.3","0.3",".",".",".",".",".","0.5","0.3",".","."
"Communicating Evolutionary Bio","522
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
