"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","76","3.020","18.4","26.3","22.4","17.1","13.2",".","2.6",".",".",".",".",".",".",".",".","."
"","335
001","45","3.133","44.4","6.7","24.4","6.7","6.7","8.9","2.2",".",".",".",".",".",".",".",".","."
"","335
002","47","3.191","44.7","14.9","12.8","2.1","19.1","6.4",".",".",".",".",".",".",".",".",".","."
"","335
003","50","3.150","40.0","14.0","24.0","8.0","2.0","10.0","2.0",".",".",".",".",".",".",".",".","."
"","335
004","49","2.990","34.7","8.2","24.5","6.1","16.3","10.2",".",".",".",".",".",".",".",".",".","."
"","335
005","44","3.091","36.4","9.1","29.5","4.5","13.6","4.5","2.3",".",".",".",".",".",".",".",".","."
"","335
006","48","2.906","37.5","4.2","20.8","6.3","16.7","14.6",".",".",".",".",".",".",".",".",".","."
"","335
007","44","3.045","31.8","11.4","29.5","6.8","13.6","4.5","2.3",".",".",".",".",".",".",".",".","."
"","335
008","42","3.000","31.0","7.1","35.7","7.1","7.1","11.9",".",".",".",".",".",".",".",".",".","."
"","335
009","45","3.114","28.9","20.0","20.0","15.6","6.7","6.7",".",".",".",".",".",".","2.2",".",".","."
"","335
010","47","3.202","36.2","19.1","21.3","8.5","8.5","6.4",".",".",".",".",".",".",".",".",".","."
"","335
011","47","2.851","29.8","8.5","17.0","12.8","23.4","6.4","2.1",".",".",".",".",".",".",".",".","."
"","335
012","49","3.184","46.9","10.2","20.4","2.0","10.2","8.2","2.0",".",".",".",".",".",".",".",".","."
"Physiology","Course Total","557","3.072","37.0","11.1","23.2","7.2","12.0","8.3","1.1",".",".",".",".",".","0.2",".",".","."
"","337
001","141","3.043","34.0","23.4","7.8","10.6","15.6","5.0","3.5",".",".",".",".",".",".",".",".","."
"","337
002","135","3.063","28.9","21.5","16.3","13.3","12.6","5.9","0.7",".",".",".",".",".","0.7",".",".","."
"","337
003","73","2.555","8.2","19.2","17.8","15.1","24.7","15.1",".",".",".",".",".",".",".",".",".","."
"","337
004","71","2.563","11.3","11.3","16.9","19.7","33.8","4.2","2.8",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","420","2.883","24.0","20.0","13.8","13.8","19.3","6.9","1.9",".",".",".",".",".","0.2",".",".","."
"","338
001","31","3.355","51.6","16.1","9.7","9.7","9.7",".","3.2",".",".",".",".",".",".",".",".","."
"","338
002","31","3.306","38.7","16.1","25.8","6.5","12.9",".",".",".",".",".",".",".",".",".",".","."
"","338
003","27","3.370","48.1","14.8","25.9",".","3.7","7.4",".",".",".",".",".",".",".",".",".","."
"","338
004","22","3.250","36.4","22.7","22.7","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","338
005","25","3.400","56.0","8.0","12.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","338
006","23","3.587","52.2","21.7","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","338
007","28","3.000","28.6","25.0","10.7","10.7","14.3","10.7",".",".",".",".",".",".",".",".",".","."
"","338
008","23","3.130","30.4","26.1","21.7",".","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","210","3.298","42.9","18.6","18.1","6.7","10.0","2.4","1.4",".",".",".",".",".",".",".",".","."
"Independent Study","399
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
