"TERM : 1242","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2023-2024","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"SCANDINAVIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","Dept. Total","159","3.690","56.0","17.6","6.3","1.3","1.9","",".","0.6","15.7","",".",".","",".","",".","",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.703","56.5","34.8","4.3","4.3",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","24","3.452","58.3","20.8","8.3","4.2","4.2","",".","4.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","","34","3.705","64.7","23.5","8.8",".","2.9","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","26","3.738","69.2","19.2","7.7",".","3.8","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","107","3.654","62.6","24.3","7.5","1.9","2.8","",".","0.9",".","",".",".","",".","",".","",".",".",".","."
"Special","","19","3.500","5.3",".","5.3",".",".","",".",".","84.2","",".",".","",".","",".","",".","5.3",".","."
"Graduate","","33","3.910","63.6","6.1","3.0",".",".","",".",".","27.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","159","3.690","56.0","17.6","6.3","1.3","1.9","",".","0.6","15.7","",".",".","",".","",".","",".","0.6",".","."
