"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People
123","001","","29","3.310","48.3","13.8","17.2","6.9","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"Antibiotic Discovery Research
154","002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Turf Management
261","001","","17","3.067","23.5","11.8","23.5","11.8","17.6",".",".",".",".",".",".",".",".","11.8",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Plant Pathology
300","001","","54","3.352","40.7","18.5","27.8","3.7","7.4",".","1.9",".",".",".",".",".",".",".",".","."
"Global Food Security
311","001","","177","3.637","54.8","31.1","6.8","2.3","2.8",".","1.1",".",".",".",".",".","1.1",".",".","."
"Soil Biology
323","001","","12","3.750","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Ind Study - Organic Agr
499","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Gen Virology-Multiplication
640","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.821","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Pract-Plant Pathology Tchg
799","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar
923","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Mycology
930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","39","",".",".",".",".",".",".",".","46.2",".",".",".","51.3","2.6",".",".","."
