"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Foundations of Contemp Art","108
001","","153","3.763","74.5","13.1","4.6","5.2","1.3","0.7",".",".",".",".",".",".",".",".","0.7","."
"","112
003","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","","18","3.806","88.9",".",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","112
005","","17","3.824","82.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","112
006","","16","3.750","75.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","","16","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","","82","3.793","80.5","4.9","9.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","176
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
005","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","","66","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","","19","3.842","84.2","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","212
004","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","","79","3.956","94.9","3.8",".",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","214
001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","","23","3.761","65.2","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","","12","3.417","58.3",".","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","224
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","62","3.879","90.3","1.6","6.5",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing I","232
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","244
003","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","43","3.895","88.4","7.0","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
