"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","6","3.471","66.7",".","16.7",".","16.7","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","28","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","118","3.969","76.3","5.1",".",".",".","",".","",".","18.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","30","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","377","3.488","31.6","4.0","10.6","2.4","1.6","",".","",".","49.9","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","311","4.000","51.1",".",".",".",".","",".","",".","48.6","",".",".","",".","",".","0.3",".",".","."
"Professionals","836","3.702","47.6","2.5","4.8","1.1","0.7","",".","",".","43.2","",".",".","",".","",".","0.1",".",".","."
