"Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"775
001","","56","",".",".",".",".",".",".",".","94.6",".",".",".",".","5.4",".",".","."
"775
002","","40","",".",".",".",".",".",".",".","97.5",".",".",".",".","2.5",".",".","."
"775
003","","21","",".",".",".",".",".",".",".","95.2",".",".",".",".","4.8",".",".","."
"775
004","","10","",".",".",".",".",".",".",".","90.0",".",".",".",".","10.0",".",".","."
"775
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total","","137","",".",".",".",".",".",".",".","94.2",".",".",".",".","5.8",".",".","."
