"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","94","3.628","53.2","27.7","14.9","2.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","58","2.940","20.7","17.2","17.2","22.4","20.7","1.7",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","47","2.947","19.1","25.5","21.3","14.9","12.8","2.1","4.3",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","49","2.813","16.3","8.2","40.8","8.2","16.3","6.1","2.0","2.0",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","52","3.019","26.9","19.2","17.3","19.2","13.5",".","3.8",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","78","3.154","28.2","19.2","33.3","9.0","5.1","2.6","2.6",".",".",".",".",".",".",".",".","."
"","324","001","","8","3.188","25.0","37.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","324","002","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","9","3.444","55.6",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","35","3.386","34.3","25.7","31.4","5.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","19","2.763","21.1","15.8","15.8","21.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","64","3.127","25.0","25.0","15.6","15.6","17.2",".",".",".",".",".",".",".","1.6",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","66","3.152","30.3","13.6","25.8","22.7","4.5","3.0",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","26","3.385","42.3","11.5","34.6","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","37","3.473","40.5","24.3","27.0","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","41","3.354","29.3","26.8","31.7","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","489","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Polymer Sci & Technology","540","001","","24","3.021","12.5",".","70.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","31","3.823","71.0","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","003","","12","3.773","66.7","16.7",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","562","004","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","35","4.000","34.3",".",".",".",".",".",".","65.7",".",".",".",".",".",".",".","."
"","562","010","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","011","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","114","3.818","60.5","12.3","5.3","0.9",".",".",".","21.1",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","10","3.200","20.0","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","599","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
