"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Sports Communication","150","001","119","3.815","84.9","6.7","4.2","1.7","0.8",".","1.7",".",".",".",".",".",".",".",".","."
"Mass Media in Multicultrl Amer","162","001","139","3.719","58.3","33.1","6.5","1.4",".",".","0.7",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","176","013","25","3.760","68.0","20.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","249","3.710","70.7","15.7","7.2","2.0",".","0.8","2.0",".",".",".",".",".","1.6",".",".","."
"Mass Communication Practices","202","001","118","3.667","36.4","59.3","3.4",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Information for Communication","203","001","118","3.919","87.3","9.3","0.8","1.7",".",".",".",".",".",".",".",".","0.8",".",".","."
"","335","001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","16","3.594","43.8","31.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","004","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","59","3.763","61.0","30.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","345","001","83","3.825","74.7","16.9","7.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazine Publishing","417","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Journalism","425","001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Account Planning & Strategy","449","001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sports Communication","450","001","48","3.885","87.5","4.2","6.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Media Strategies","463","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","048","17","3.588","58.8","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","475","049","18","3.806","77.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","35","3.700","68.6","25.7",".",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","95","3.805","69.5","23.2","6.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","563","001","97","3.464","32.0","39.2","20.6","3.1","4.1",".",".","1.0",".",".",".",".",".",".",".","."
"Media and the Consumer","564","001","100","3.765","70.0","16.0","12.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","77","",".",".",".",".",".",".",".",".",".","98.7","1.3",".",".",".",".","."
"","617","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617","002","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","23","3.674","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Impact of Emerging Media","622","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sprts Cntrovsy & Comm Prof","651","001","46","3.620","32.6","58.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","24","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","062","59","3.754","57.6","35.6","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","063","49","3.806","65.3","30.6","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","","Course Total","108","3.782","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
