"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","003","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano
102","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103","001","","12","3.792","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"103","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","16","3.656","75.0","6.3","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano
104","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Class Piano
108","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Performance: Voice
143","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","7","3.722","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","105","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","23","3.827","65.2","21.7","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"146","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"200","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","5","***","","","","","","","","","","","","","","","",""
"205","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 307 of 469",""
