"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","Dept. Total","5769","3.377","48.0","17.7","14.7","8.0","5.5","2.7","1.5","0.8","0.0",".","",".","0.4","0.3","0.0","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1363","3.226","39.6","20.8","15.6","10.6","6.5","4.6","2.2",".",".",".","",".",".","0.1",".",".","."
"Sophomore","","1283","3.318","44.6","18.5","16.3","8.5","7.7","3.0","1.3",".",".",".","",".",".","0.1",".",".","."
"Junior","","1286","3.310","43.2","18.4","18.0","9.3","5.9","2.8","2.0",".",".",".","",".",".","0.4",".",".","."
"Senior","","1523","3.585","59.8","16.2","12.0","5.3","3.4","1.1","0.5","0.1",".",".","",".","1.2","0.5","0.1",".","."
"Undergraduates","","5455","3.370","47.3","18.4","15.3","8.3","5.8","2.8","1.5","0.0",".",".","",".","0.3","0.3","0.0",".","."
"Special","","44","2.819","31.8","2.3","6.8","4.5","2.3","2.3","11.4","2.3",".",".","",".",".",".",".","36.4","."
"Graduate","","269","3.710","65.8","7.4","4.1","1.5","1.5","0.7",".","15.6","0.4","1.1","",".","1.9",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","5772","3.377","48.0","17.7","14.7","8.0","5.5","2.7","1.5","0.8","0.0","0.1","",".","0.4","0.3","0.0","0.3","."
