"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","90","3.767","66.7","17.8","6.7","4.4",".",".",".","4.4",".",".",".",".",".",".",".","."
"Jazz in 20th-Century America","102
001","273","3.552","50.5","27.8","11.7","1.8","3.3","1.5","1.1","2.2",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","177","3.795","81.4","2.8","7.3","0.6","4.0",".","0.6",".",".",".",".",".",".","0.6","2.8","."
"Music & Film","107
001","33","3.323","27.3","24.2","24.2","18.2",".",".",".","3.0",".",".",".",".","3.0",".",".","."
"","113
001","677","3.798","85.2","5.3","3.4","2.7","1.5","0.4","1.5",".",".",".",".",".",".",".",".","."
"","113
002","664","3.895","92.8",".","5.4",".","0.9","0.3","0.6",".",".",".",".",".",".",".",".","."
"","113
003","636","3.818","90.6","0.6","3.3","0.8","2.0","1.4","1.3",".",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1977","3.837","89.5","2.0","4.0","1.2","1.5","0.7","1.1",".",".",".",".",".",".",".",".","."
"","121
001","34","3.824","79.4","5.9","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","46","3.663","76.1","6.5","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","80","3.731","77.5","6.3","8.8","5.0",".","2.5",".",".",".",".",".",".",".",".",".","."
"","151
001","37","3.770","73.0","13.5","10.8",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","151
002","65","3.438","47.7","10.8","20.0",".","3.1","1.5","3.1",".",".",".",".",".",".",".","13.8","."
"","151
003","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","122","3.637","63.1","9.8","14.8",".","2.5","0.8","1.6",".",".",".",".",".",".",".","7.4","."
"","171
101","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","18","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","171
104","15","3.800","93.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","171
105","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","80","3.875","92.5","3.8",".","1.3",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","47","3.567","55.3","25.5","6.4","2.1","2.1","2.1","2.1","4.3",".",".",".",".",".",".",".","."
"","221
001","29","3.862","75.9","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","13","3.308","38.5","30.8","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","42","3.690","64.3","23.8","9.5",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Conducting","253
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
060","11","3.971","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
060","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Hand Drumming Ensemble","Course Total","39","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
064","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
066","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
032","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
049","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 301 of 469",""
