"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Signals and Systems","330
001","83","3.145","39.8","13.3","14.5","8.4","21.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"Intro-Randm Sig Analysis&Stats","331
001","30","3.183","36.7","20.0","13.3","10.0","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","35","3.714","48.6","45.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","73","3.521","43.8","26.0","21.9","6.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"","340
002","63","2.643","17.5","14.3","19.0","12.7","23.8","7.9","4.8",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","136","3.114","31.6","20.6","20.6","9.6","11.8","3.7","2.2",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","62","3.911","91.9","1.6","4.8",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","352
001","103","3.311","32.0","29.1","19.4","13.6","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","352
002","52","3.000","17.3","19.2","34.6","11.5","13.5","3.8",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","155","3.206","27.1","25.8","24.5","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","84","3.298","35.7","23.8","19.0","16.7","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","354
001","52","3.275","19.2","28.8","38.5","9.6","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"","354
002","35","3.157","20.0","20.0","40.0","17.1",".","2.9",".",".",".",".",".",".",".",".",".","."
"","354
003","8","3.375","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","95","3.239","20.0","27.4","36.8","11.6","2.1","1.1",".",".",".",".",".",".","1.1",".",".","."
"","370
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","370
005","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","51","3.941","94.1","3.9",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","99","2.970","22.2","16.2","31.3","12.1","11.1","5.1","2.0",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","6","3.786","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
101","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
110","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
123","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
149","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","43","3.934","90.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","39","3.141","20.5","28.2","25.6","10.3","15.4",".",".",".",".",".",".",".",".",".",".","."
"","411
003","30","3.550","66.7","6.7","16.7","3.3","3.3",".","3.3",".",".",".",".",".",".",".",".","."
