"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","21","3.690","57.1","33.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","101
003","19","3.889","78.9","10.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","101
004","22","3.636","68.2","22.7",".","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","79","3.744","68.4","21.5","5.1","1.3","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"","103
001","15","3.433","60.0","6.7","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","103
002","18","3.441","44.4","16.7","16.7","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","103
003","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
004","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","103
005","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
006","16","3.563","68.8",".","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","103
007","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
009","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","123","3.656","65.9","12.2","13.8","4.1","2.4",".","0.8","0.8",".",".",".",".",".",".",".","."
"","105
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","14","3.462","57.1","14.3","14.3",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"","105
004","14","3.679","64.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","105
005","16","3.567","56.3","18.8","6.3",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"","105
006","12","3.500","58.3","16.7",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Korean","Course Total","90","3.705","70.0","15.6","4.4","2.2","4.4",".","1.1","2.2",".",".",".",".",".",".",".","."
"2nd Sem Elementary Japanese","114
001","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Asian Language","121
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Filipino","123
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","127
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","129
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","13","3.423","76.9",".",".","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"First Semester Hindi","133
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","137
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","139
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","23","3.783","78.3","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","25","3.780","72.0","20.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","201
003","23","3.739","73.9","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","71","3.768","74.6","14.1","4.2","4.2","2.8",".",".",".",".",".",".",".",".",".",".","."
"","203
001","19","3.526","47.4","31.6","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
003","16","3.031","31.3","12.5","31.3","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.118","35.3","23.5","5.9","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","67","3.328","43.3","22.4","13.4","7.5","9.0","4.5",".",".",".",".",".",".",".",".",".","."
