"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"LACIS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","6","3.636","50.0","33.3","16.7","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","6","3.444","66.7","16.7",".","",".","16.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","18","3.680","66.7","22.2","5.6","",".","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","14","3.900","85.7","14.3",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
