"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
021","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
023","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
024","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
025","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
026","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
027","14","3.714","71.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","125
028","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
029","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","125
031","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
033","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
034","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
035","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
036","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","503","3.892","90.5","4.8","2.4","0.6","1.0",".","0.8",".",".",".",".",".",".",".",".","."
"Intersectionalities","225
001","209","3.852","83.3","11.0","2.4","1.4","1.4",".","0.5",".",".",".",".",".",".",".",".","."
"Race and the Developing Child","230
001","24","3.833","95.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Mental Hlth &Diverse Community","237
001","189","3.915","91.0","5.3","2.1",".",".","0.5","0.5",".",".",".",".",".",".",".","0.5","."
"","300
001","19","3.921","94.7",".",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","34","3.938","97.1",".",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Community-Engaged Scholarship","601
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","27","3.979","85.2","3.7",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","40","3.970","87.5","5.0",".",".",".",".",".",".",".",".",".",".","7.5",".",".","."
"Clinical Communication Skills","655
001","124","3.790","74.2","16.1","6.5","1.6","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Activities","700
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Helping Relations & Techniques","805
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
