"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families","174","001","71","3.556","59.2","18.3","11.3","8.5",".",".","2.8",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium","253","001","94","3.920","93.6","3.2","2.1",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"Development of Young Child","262","001","217","3.726","68.7","16.1","10.6","0.5","1.8","1.4",".","0.5",".",".",".",".",".",".","0.5","."
"Develp: Adolescence-Old Age","263","001","225","3.783","76.4","12.0","5.3","1.3","1.8","0.9","0.4","1.8",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","38","3.553","65.8","7.9","10.5","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"Play-Devlpmt & Role-Lifespan","464","001","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465","001","20","3.825","80.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","469","001","39","3.744","74.4","15.4","5.1",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","469","002","37","3.649","73.0","5.4","13.5","5.4",".",".","2.7",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","","Course Total","76","3.697","73.7","10.5","9.2","2.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","40","3.808","77.5","10.0","2.5","7.5",".",".",".",".",".",".",".",".",".","2.5",".","."
"Racial Ethnic Families in U.S.","474","001","39","3.718","76.9","5.1","12.8",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","501","002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516","001","39","3.705","56.4","28.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","49","3.837","81.6","10.2","2.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","25","3.760","68.0","24.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","592","001","21","3.962","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","592","049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience in HDFS","","Course Total","22","3.963","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","37","3.946","94.6","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","33","3.682","69.7","12.1","9.1","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Aging and the Family","763","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","765","001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Bridging Gap: Rsch & Action","872","001","14","3.577","71.4","7.1","7.1",".",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"Prevention Science","880","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 159 of 469",""
