"L&S","","","","","","","","","","","","","","","","","","","","",""
"BOTANY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","","",""
"208
BOTANY","Dept. Total","766","3.377","48.8","10.1","19.1","4.4","6.4","1.3","0.5","6.0","",".",".","",".","2.0","0.7","0.8",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","49","3.220","40.8","16.3","24.5","6.1","6.1","4.1","2.0",".","",".",".","",".",".",".",".",".","."
"Sophomore","","142","3.282","47.2","9.9","21.8","7.7","8.5","2.1","0.7",".","",".",".","",".",".","2.1",".",".","."
"Junior","","200","3.262","44.0","13.5","26.0","4.5","10.0","1.5","0.5",".","",".",".","",".",".",".",".",".","."
"Senior","","276","3.534","61.6","9.1","15.6","4.0","4.0","0.7","0.4",".","",".",".","",".","4.0","0.7",".",".","."
"Undergraduates","","667","3.368","51.7","11.1","20.7","5.1","6.9","1.5","0.6",".","",".",".","",".","1.6","0.7",".",".","."
"Special","","25","3.287","16.0","4.0","24.0",".","4.0",".",".","28.0","",".",".","",".",".",".","24.0",".","."
"Graduate","","74","3.732","33.8","2.7","2.7",".","2.7",".",".","52.7","",".",".","",".","5.4",".",".",".","."
"","Dept. Total","766","3.377","48.8","10.1","19.1","4.4","6.4","1.3","0.5","6.0","",".",".","",".","2.0","0.7","0.8",".","."
