"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","172","3.311","44.8","23.3","14.0","4.1","7.6","3.5","2.9",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","103","3.207","26.2","19.4","36.9","6.8","1.9","3.9","1.0",".",".",".",".",".",".",".","3.9","."
"Physical Systems of Envr","127","001","7","3.500","28.6",".","28.6",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","68","3.750","72.1","11.8","5.9","4.4","2.9",".",".",".",".",".",".",".",".",".","2.9","."
"Digital Globe:GIScience & Tech","170","001","242","3.571","59.5","17.8","11.6","4.5","2.9","2.1","0.8","0.4",".",".",".",".",".",".","0.4","."
"Topics in Geography","175","001","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","70","3.775","78.6","11.4","2.9","1.4","2.9",".","1.4",".",".",".",".",".",".",".","1.4","."
"Universal Basic Income","315","001","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","14","3.200","7.1","14.3","50.0",".",".",".",".","7.1",".",".",".",".","14.3",".","7.1","."
"Environmental Biogeography","338","001","30","3.767","70.0","20.0","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","35","3.029","25.7","14.3","31.4","8.6","11.4","2.9","2.9",".",".",".",".",".",".",".",".","2.9"
"World Regions in Global Contxt","340","001","325","3.421","44.3","20.6","15.1","3.7","3.4","0.9","3.1","7.1",".",".",".",".","1.8",".",".","."
"Native North Amer Nat Res Mgmt","345","001","15","3.458","20.0","33.3","26.7",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","370","001","69","3.687","75.4","11.6","4.3",".",".","2.9","2.9","1.4",".",".",".",".","1.4",".",".","."
"","370","070","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","80","3.731","78.8","10.0","3.8",".",".","2.5","2.5","1.3",".",".",".",".","1.3",".",".","."
"","377","001","48","3.490","43.8","18.8","31.3","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","377","070","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","54","3.546","50.0","16.7","27.8","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","378","001","45","3.544","62.2","13.3","11.1","6.7","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"","378","070","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","","Course Total","56","3.598","66.1","12.5","8.9","7.1","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"Drones, Sensors & Applications","379","001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","9","3.563","44.4","33.3",".",".","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"Amer Environmental History","460","001","12","2.917","25.0","33.3","25.0",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Economic Geography","510","001","19","3.342","36.8","21.1","15.8","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Social Theory","511","001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Apps of GIS in Planning","532","001","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","070","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","574","001","37","3.903","78.4","18.9",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"","574","070","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","","Course Total","44","3.919","81.8","15.9",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Interactive Cart & Geovis","575","070","8","3.429","75.0",".",".",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"Spatial Web/Mobile Programming","576","070","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","579","001","21","3.700","61.9","28.6",".",".",".","4.8",".",".",".",".",".",".",".",".","4.8","."
"","579","070","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 245 of 469",""
