"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"491","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","10","3.826","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects II
492","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Facilities Planning
510","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty
512","001","","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Smart Manufacturing
529","003","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"532","002","","13","3.538","38.5","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","","15","3.533","40.0","40.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Comp-Aided Geometric Design
535","001","","24","3.250","29.2","12.5","41.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"539","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"539","002","","8","3.143","12.5","50.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","12.5","."
"Intro-Artificl Neural Ntwrks","Course Total","","13","3.333","23.1","46.2","15.4",".",".","7.7",".",".",".",".",".",".",".",".","7.7","."
"Exp Vib & Dynamic Sys Analysis
540","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Product Design
549","001","","57","3.807","64.9","31.6","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Thermodynamics
561","001","","26","3.720","61.5","23.1","7.7",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Power Plant Technology
565","001","","19","3.553","42.1","26.3","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology
567","001","","20","3.200","40.0","20.0","20.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"Applied Combustion
569","001","","14","3.143","14.3","35.7","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Computational Fluid Dynamics
573","001","","23","3.159","30.4","4.3","47.8",".","8.7","4.3",".",".",".",".",".",".","4.3",".",".","."
"601","068","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","076","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","077","","11","3.778","45.5","36.4",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Special Topics-Mech Engr","Course Total","","36","3.930","83.3","11.1",".",".",".",".",".","2.8",".",".",".",".","2.8",".",".","."
"Tissue Mechanics
615","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program
702","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasticity Theory and Physics
703","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Tissue Mechanics
715","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
