"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","11","2.781","18.2","9.1","27.3","18.2","18.2","9.1",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","75","3.081","37.3","14.7","18.7","8.0","14.7","2.7","4.0",".","",".",".","",".",".","",".",".",".","."
"Senior","","177","3.565","53.7","23.7","15.3","2.3","3.4","0.6","1.1",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","264","3.383","47.3","20.5","16.7","4.5","7.2","1.5","2.3",".","",".",".","",".",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","53","3.888","34.0","1.9","1.9",".",".",".",".","34.0","",".",".","",".","28.3","",".",".",".","."
"","Dept. Total","322","3.396","45.0","17.1","14.0","4.0","5.9","1.2","2.2","5.9","",".",".","",".","4.7","",".",".",".","."
