"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","38","3.658","57.9","18.4","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","48","3.750","75.0","14.6","6.3","2.1",".",".","2.1",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","20","3.263","40.0","15.0","20.0","5.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","28","3.260","39.3","10.7","14.3","14.3","7.1","3.6",".","7.1",".",".",".",".",".","3.6",".","."
"Russia's Greatest Enigma:Gogol","221","001","20","3.575","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","69","3.808","65.2","23.2","4.3","1.4",".",".",".","1.4",".",".",".",".","2.9","1.4",".","."
"V Nabokov: Russ&Amer Writng","223","001","17","3.647","64.7","23.5",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","17","3.500","41.2","23.5","17.6","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"Intro to Biblical Lit","227","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Anime","232","001","30","3.217","30.0","23.3","33.3",".","10.0",".","3.3",".",".",".",".",".",".",".",".","."
"","233","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","233","002","15","3.929","86.7",".","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Russian Life&Cult (to 1917)","","Course Total","18","3.907","83.3","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"The World of Sagas","235","001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Bascom Crse-In Translation","236","001","24","3.688","79.2","4.2",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Literature and Revolution","238","001","47","3.543","61.7","21.3","2.1","4.3","2.1","4.3","2.1",".",".",".",".",".",".",".","2.1","."
"","247","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247","002","21","3.738","76.2","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","","Course Total","32","3.813","81.3","12.5","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","35","3.829","68.6","28.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Italy & Invention of America","260","001","40","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","59","3.776","69.5","20.3","3.4","3.4","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","275","001","155","3.559","38.7","45.8","7.1","2.6","3.9","0.6",".",".",".",".",".",".",".",".","1.3","."
"","275","002","98","3.663","60.2","28.6","4.1","2.0","4.1",".","1.0",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","253","3.607","47.0","39.1","5.9","2.4","4.0","0.4","0.4",".",".",".",".",".",".",".","0.8","."
"","276","001","31","3.484","48.4","25.8","12.9","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","276","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276","003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276","004","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","","Course Total","72","3.729","69.4","18.1","6.9","2.8","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","167","3.784","79.0","9.6","6.0","1.2","3.6","0.6",".",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337","001","53","3.246","20.8","18.9","22.6","9.4","1.9",".","1.9","17.0",".",".",".",".","1.9","5.7",".","."
"Machiavelli and His World","365","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Inter Topics in Russ Lit & Cul","366","001","7","3.333","71.4",".",".",".",".",".","14.3",".",".",".",".",".",".",".","14.3","."
"Topics in Japanese Lit","373","001","27","3.680","40.7","44.4","7.4",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"","410","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410","002","12","3.542","66.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
