"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","79","3.628","73.4",".","16.5",".","7.6",".","1.3",".",".",".",".",".","1.3",".",".","."
"Agroecology of Food and Ag","103","002","43","3.625","55.8","23.3","7.0","4.7",".",".","2.3",".",".",".",".",".",".",".","7.0","."
"Environmental Geology","106","001","60","3.308","36.7","28.3","16.7","6.7","6.7","5.0",".",".",".",".",".",".",".",".",".","."
"Environment & Social Sciences","112","001","235","3.487","34.5","40.4","17.9","4.3","0.9","0.4","0.9",".",".",".",".",".",".","0.9",".","."
"GreenHouse Roots Seminar","117","001","60","3.700","73.3",".","25.0",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","78","3.231","28.2","26.9","32.1","3.8","5.1",".","3.8",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","9","3.111","33.3",".","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","140","3.650","71.4","15.0","5.7","2.1","2.1",".","3.6",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","20","3.700","80.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","201","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Environmental Studies","203","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health","205","001","87","3.874","88.5","4.6","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","255","001","47","3.628","57.4","10.6","31.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","31","3.534","45.2","19.4","22.6","3.2","3.2",".",".",".",".",".",".",".",".",".","6.5","."
"Rhet,Science&Public Engagement","305","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306","001","117","3.571","43.6","37.6","10.3",".","2.6",".","1.7","4.3",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","39","3.513","56.4","17.9","12.8","7.7","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","317","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems & LCA","326","001","28","3.929","96.4",".",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","12","3.318","16.7","25.0","50.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Past Climatic Environments","335","001","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","45","3.278","35.6","17.8","31.1","6.7","4.4","4.4",".",".",".",".",".",".",".",".",".","."
"Indigenous Envir Communicators","341","001","15","3.682","26.7","46.7",".",".",".",".",".","6.7",".",".",".",".","6.7",".","13.3","."
"Native North Amer Nat Res Mgmt","345","001","18","3.353","50.0","11.1","22.2",".","5.6",".","5.6",".",".",".",".",".","5.6",".",".","."
"Introduction to Air Quality","355","001","28","3.327","32.1","25.0","21.4","7.1","3.6","3.6",".","7.1",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","37","3.784","73.0","13.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","33","3.318","33.3","24.2","27.3","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","18","3.556","44.4","33.3","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Sustainability Cmty Engagement","398","001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","400","001","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 170 of 469",""
