"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","18345","3.778","77.5","8.6","4.6","1.6","1.8","0.7","0.4","1.3","0.0","1.9","",".","0.5","0.7","0.0","0.4","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","2042","3.780","81.3","9.7","4.6","1.4","1.6","0.6","0.7",".",".",".","",".",".","0.2","0.0",".","."
"Sophomore","","2827","3.721","77.6","9.9","5.2","2.5","2.6","0.9","0.8",".",".",".","",".",".","0.3","0.1",".","."
"Junior","","3951","3.734","78.6","9.4","5.5","2.1","2.4","1.1","0.3",".",".","0.1","",".",".","0.5",".",".","."
"Senior","","5514","3.767","77.8","9.4","5.4","1.9","2.2","0.6","0.3","0.0",".","2.1","",".",".","0.2","0.0","0.0","."
"Undergraduates","","14334","3.750","78.5","9.5","5.3","2.0","2.3","0.8","0.5","0.0",".","0.8","",".",".","0.3","0.0","0.0","."
"Special","","272","3.679","50.4","5.1","3.3","2.2","0.7","0.7","1.5","7.0",".",".","",".",".","1.5","1.1","26.5","."
"Graduate","","3726","3.918","75.6","5.0","1.9","0.2","0.1","0.1","0.2","5.9","0.0","6.3","",".","2.5","2.0","0.0","0.2","."
"Prof Yr 1","","8","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","17","3.860","82.4","11.8","5.9",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","College Total","18349","3.778","77.5","8.6","4.6","1.6","1.8","0.7","0.4","1.3","0.0","1.9","",".","0.5","0.7","0.0","0.4","."
