"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"","100
001","233","3.603","55.4","21.5","17.6","3.0","1.7",".","0.9",".",".",".",".",".",".",".",".","."
"","100
002","12","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"The Microbial World","Course Total","245","3.603","52.7","20.4","16.7","2.9","1.6",".","0.8",".",".",".",".",".",".",".","4.9","."
"General Microbiology","101
001","361","3.220","28.0","28.3","23.3","10.2","6.9","1.9","1.4",".",".",".",".",".",".",".",".","."
"","102
001","37","3.432","37.8","18.9","37.8","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","35","3.200","20.0","28.6","42.9",".","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"","102
003","37","3.486","45.9","21.6","29.7",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"","102
004","38","3.171","21.1","23.7","36.8","5.3","13.2",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","147","3.323","31.3","23.1","36.7","2.0","5.4",".","1.4",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","20","3.947","90.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Biology of Microorganisms","303
001","223","2.948","14.3","16.1","31.4","26.5","9.4","1.8","0.4",".",".",".",".",".",".",".",".","."
"","304
001","36","3.319","33.3","19.4","33.3","11.1",".","2.8",".",".",".",".",".",".",".",".",".","."
"","304
002","34","3.412","35.3","20.6","38.2","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","304
003","36","3.361","38.9","11.1","41.7","5.6",".","2.8",".",".",".",".",".",".",".",".",".","."
"","304
004","35","3.486","45.7","17.1","25.7","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","141","3.394","38.3","17.0","34.8","7.8","0.7","1.4",".",".",".",".",".",".",".",".",".","."
"","305
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","324
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","2","***","","","","","","","","","","","","","","","",""
"Food Microbiology","325
001","21","2.881","19.0","9.5","38.1","4.8","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","30","3.414","43.3","20.0","26.7",".",".","6.7",".","3.3",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","48","3.552","50.0","16.7","27.1","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","48","3.188","25.0","27.1","31.3","2.1","12.5",".","2.1",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","51","3.020","23.5","21.6","27.5","5.9","13.7","7.8",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","23","3.587","52.2","13.0","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Metabolomics","626
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 10 of 469"
