"PUBLIC AFFAIRS & PUBLIC POLI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","65","3.015","33.8","6.2","26.2","18.5","9.2","1.5","4.6",".",".",".",".",".",".",".",".","."
"Intro to Health Policy in U.S.","201
001","","93","3.313","33.3","28.0","19.4","9.7","4.3","2.2","1.1",".",".",".",".",".",".",".","2.2","."
"","240
001","","29","3.879","75.9","24.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","","27","3.611","51.9","40.7","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","240
004","","19","3.342","21.1","68.4",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Evidence-Based Policy Making","Course Total","","75","3.647","53.3","41.3","1.3",".","1.3",".","2.7",".",".",".",".",".",".",".",".","."
"","274
001","","15","3.893","80.0","6.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","274
002","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Policy","Course Total","","26","3.820","76.9","11.5","3.8",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Public Leadership","278
001","","24","3.761","75.0","12.5","4.2",".",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"","281
001","","37","3.905","81.1","18.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","281
002","","35","3.871","82.9","11.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","Course Total","","72","3.889","81.9","15.3","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Public Management","285
001","","19","3.684","52.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","327
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","","28","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
003","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
004","","30","3.700","60.0","26.7","10.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","","88","3.784","70.5","18.2","10.2",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Inequality, Race & Publ Policy","520
001","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Pub Affr Prof Devlpmnt Workshp","800
001","","48","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","14","3.708","35.7","50.0",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","10","3.556","30.0","40.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","41","3.439","26.8","41.5","24.4","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","880
001","","47","3.596","48.9","38.3","6.4","4.3",".",".","2.1",".",".",".",".",".",".",".",".","."
"","881
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
002","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","Course Total","","22","3.659","50.0","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","26","3.960","92.3",".","3.8",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"","974
004","","17","3.765","88.2",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","974
005","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","974
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","61","3.850","86.9","1.6","6.6","1.6",".","1.6",".",".",".",".",".",".",".",".","1.6","."
