"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","3861","3.215","37.7","17.6","20.0","9.2","10.6","2.3","1.1","1.1","",".",".","",".","0.2","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.005","30.4","8.9","16.1","19.6","23.2","1.8",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","609","3.083","28.4","18.4","22.2","13.0","13.3","3.3","1.5",".","",".",".","",".",".",".",".",".","."
"Junior","","1223","3.036","28.0","17.5","21.5","12.2","15.9","3.3","1.5","0.1","",".",".","",".",".",".",".",".","."
"Senior","","1106","3.199","36.8","16.0","23.5","9.1","10.6","2.4","1.1",".","",".",".","",".","0.2","0.2","0.1",".","."
"Undergraduates","","2994","3.104","31.4","17.0","22.3","11.4","13.6","2.9","1.3","0.0","",".",".","",".","0.1","0.1","0.0",".","."
"Special","","213","3.618","63.8","19.2","12.7","2.3","0.5",".","0.5","0.5","",".",".","",".",".","0.5",".",".","."
"Graduate","","651","3.678","57.8","20.3","11.8","1.8","0.6","0.2","0.2","6.5","",".",".","",".","0.8",".","0.2",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3861","3.215","37.7","17.6","20.0","9.2","10.6","2.3","1.1","1.1","",".",".","",".","0.2","0.1","0.1",".","."
