"4th Yr Compositn & Conversatn","311
001","","9","4.000","88.9",".",".",".",".","",".",".",".",".","",".",".","",".",".","11.1",".","."
"Smr-Latin American Area","982
003","","5","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis","990
002","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"782
PORTUG","Dept. Total","","56","3.362","48.2","12.5","16.1","3.6","10.7","",".","1.8","1.8","",".",".","",".","1.8","1.8","1.8",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","3.118","55.6","11.1","11.1",".","11.1","",".","11.1",".","",".",".","",".",".",".",".",".","."
"Sophomore","","","9","3.389","44.4","11.1","33.3",".","11.1","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","9","2.875","11.1","22.2","22.2",".","33.3","",".",".",".","",".",".","",".",".","11.1",".",".","."
"Senior","","","13","3.447","46.2","15.4","15.4","7.7","7.7","",".",".",".","",".",".","",".",".",".","7.7",".","."
"Undergraduates","","","40","3.235","40.0","15.0","20.0","2.5","15.0","",".","2.5",".","",".",".","",".",".","2.5","2.5",".","."
"Special","","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","","12","3.957","83.3","8.3",".",".",".","",".",".",".","",".",".","",".","8.3",".",".",".","."
"Prof Yr 3","","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","","56","3.362","48.2","12.5","16.1","3.6","10.7","",".","1.8","1.8","",".",".","",".","1.8","1.8","1.8",".","."
