"EGR","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"Engr Problem Solving I","271
001","","45","2.841","8.9","20.0","33.3","15.6","13.3","6.7",".",".",".",".",".",".","2.2",".",".","."
"","418
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sust Energy Challengs & Solutn","Course Total","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","468
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Engineering Research","Course Total","","23","3.891","87.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","","8","3.188","37.5","12.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Research Pract-Engr Physics I","568
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","759
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"EP Graduate Seminar","920
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"347
E P","Dept. Total","","114","3.195","48.2","14.0","14.9","8.8","6.1","2.6",".",".",".","3.5",".",".","1.8",".",".","."
