"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","64","3.656","62.5","23.4","7.8","1.6","3.1",".","1.6",".",".",".",".",".",".",".",".","."
"","301
001","110","3.741","64.5","25.5","7.3","0.9","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"","301
002","110","3.809","72.7","20.0","4.5","1.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"","301
003","102","3.970","94.1","3.9","1.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"How People Learn","Course Total","322","3.836","76.7","16.8","4.3","0.9","0.6","0.3",".",".",".",".",".",".","0.3",".",".","."
"Human Dev-Infancy&Childhood","320
001","147","3.946","92.5","4.8","2.0","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","80","3.563","57.5","25.0","7.5","5.0","1.3","1.3","2.5",".",".",".",".",".",".",".",".","."
"Psych Moral Develop Forgive","322
001","15","4.000","86.7",".",".",".",".",".",".","6.7",".",".",".",".",".",".","6.7","."
"Mind, Brain and Education","326
001","111","3.554","51.4","24.3","12.6","7.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","93","3.505","52.7","21.5","10.8","7.5","4.3","1.1","1.1",".",".",".",".",".",".",".","1.1","."
"","470
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
025","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thinking and Learning","501
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
009","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","43","3.930","95.3",".","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Thinking, Feeling, & Learning","533
001","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro to Prof School Psych","540
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant&Qual Research Methods","560
001","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Instructional Design for LA","575
001","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Conversations & Visualizations","615
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
003","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","70","3.979","97.1","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
