"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","13","3.091","38.5","15.4","7.7",".","7.7","15.4",".","7.7",".",".",".",".","7.7",".",".","."
"","101
002","","12","3.000","41.7","8.3","8.3","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","101
003","","8","3.438","62.5",".","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","12","2.917","33.3","8.3","25.0","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"1st Semester Russian","Course Total","","45","3.081","42.2","8.9","13.3","6.7","15.6","6.7","2.2","2.2",".",".",".",".","2.2",".",".","."
"1st Semester Polish","111
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","9","2.833","22.2","22.2","11.1","33.3",".",".","11.1",".",".",".",".",".",".",".",".","."
"","203
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","16","3.281","43.8","25.0","6.3","18.8",".",".","6.3",".",".",".",".",".",".",".",".","."
"Third Semester Polish","207
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Czech","217
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and Revolution","238
001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
001","","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","","25","3.292","36.0","48.0",".",".",".","4.0","8.0",".",".",".",".",".",".",".","4.0","."
"Topics-Slavic Literatures","Course Total","","57","3.652","64.9","26.3","1.8",".",".","1.8","3.5",".",".",".",".",".",".",".","1.8","."
"Third Year Russian I","275
001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish I","277
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Intensive Polish","301
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Polish I","331
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Polish II","332
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inter Topics in Russ Lit & Cul","366
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russian Culture","433
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Intensive Czech","451
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Spec Top in Slav Lang&Lit","467
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Polish Lit until 1863","470
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr:Russian Lit&Cultr","560
001","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.846","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Romanticism","703
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Slavic Literature","755
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
