"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","646
002","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","18","3.417","38.9","27.8","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","27","3.481","40.7","29.6","22.2",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"","668
001","","7","3.500","57.1",".","14.3",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"","668
002","","18","3.765","55.6","33.3","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Dig Curation and Collections","Course Total","","25","3.696","56.0","24.0","8.0",".","4.0",".",".",".",".",".",".",".","8.0",".",".","."
"","706
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
004","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mining Planning and Mgmt","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
001","","46","3.859","89.1","4.3",".","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"","707
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","707
003","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Vis for Decision Making","Course Total","","65","3.869","87.7","6.2","1.5","1.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","734
001","","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
004","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875
001","","92","3.685","59.8","28.3","6.5","4.3",".",".","1.1",".",".",".",".",".",".",".",".","."
"PWR Seminar","925
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Info Organization & Access","975
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","999
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 283 of 469",""
