"L&S","","","","","","","","","","","","","","","","","","","","",""
"GERMAN, NORDIC, AND SLAVIC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Folklore Cent East North Eur","200","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in GNS","270","001","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Kazakh","331","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy, Theory, Criticism","375","001","","11","3.136","36.4","27.3","18.2",".",".","18.2",".",".",".",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Turkish & Azeri","539","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"425
GNS","","Dept. Total","","35","3.513","54.3","17.1","20.0","2.9",".","5.7",".",".",".",".",".",".",".",".",".","."
