"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Counseling in Audiology
834","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Research Methods
835","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System
845","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System: Lab
846","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci I: Basic Acoustics
850","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Assessment
852","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Assessment Laboratory
853","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electroacous & Instr Calibratn
854","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electroacoustics&Calibration
855","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology II
860","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Assess Auditory Sys II
861","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Implantbl Auditory Prostheses
863","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"891","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"891","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"891","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"891","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology I","Course Total","","12","3.932","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"892","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"892","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology II","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III
893","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Externship in Audiology
894","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science
900","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
