"AGRICULTURAL AND APPLIED E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","49","3.173","16.3","30.6","34.7","8.2","10.2",".",".",".",".",".",".",".",".",".",".","."
"Career Development","267","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","003","8","3.286","50.0",".","25.0",".",".","12.5",".",".",".",".",".",".",".","12.5",".","."
"The Real Estate Process","","Course Total","13","3.500","53.8","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".","7.7",".","."
"Agricultural Systems Mgmt","320","001","27","3.769","63.0","22.2","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","146","3.500","47.9","30.8","12.3","0.7","0.7","0.7","4.1","2.1",".",".",".",".","0.7",".",".","."
"Issues in Food Systems","340","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Health: Econ & Policy","352","001","81","3.198","27.2","30.9","18.5","11.1","7.4","4.9",".",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371","001","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","17","3.382","11.8","52.9","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Economic Decision Analysis","421","001","26","2.981","15.4","26.9","30.8","15.4","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Food Systems & Supply Chains","422","001","25","3.160","12.0","52.0","12.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","26","3.480","53.8","11.5","15.4","11.5",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635","001","21","3.289","28.6","4.8","47.6","9.5",".",".",".",".",".",".",".",".","9.5",".",".","."
"Applied Econometric Analysis I","636","001","26","3.480","42.3","15.4","30.8","7.7",".",".",".",".",".",".",".",".","3.8",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Seminar Quant & Applied Econ","720","001","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning Ap Econ Anlys","722","001","20","3.600","50.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Development Sem","723","001","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","11","3.500","27.3","9.1","27.3",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"Development Economics 2","731","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir & Resource Econ 2","762","001","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","990","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 1 of 469"
