"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","11","3.948","90.9","9.1","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","6","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","18","3.970","94.4","5.6","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","78","3.997","98.7","1.3","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","42","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","43","4.000","2.3",".","",".","",".","",".","",".","",".","97.7","",".",".","",".","",".","",".",".",".","."
