"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"600
MATH","Dept. Total","10451","3.005","33.4","12.3","23.7","7.4","13.2","5.6","2.9","0.5","",".","0.5","",".","0.1","0.3","0.0",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3710","2.947","25.8","14.1","28.3","8.3","14.0","6.0","3.3",".","",".",".","",".",".","0.2",".",".","."
"Sophomore","","3214","2.985","34.1","11.4","23.8","6.3","15.0","5.8","3.1",".","",".",".","",".",".","0.3","0.0",".","."
"Junior","","1696","2.930","31.8","11.4","23.2","9.3","13.6","6.3","3.2",".","",".","0.6","",".",".","0.6",".",".","."
"Senior","","1003","2.987","32.7","11.7","20.8","8.7","13.3","6.3","2.6","0.3","",".","3.1","",".",".","0.4","0.1",".","0.1"
"Undergraduates","","9623","2.961","30.3","12.5","25.1","7.9","14.2","6.0","3.2","0.0","",".","0.4","",".",".","0.3","0.0",".","0.0"
"Special","","177","3.699","66.7","14.7","11.3","2.3","1.1","1.1",".","1.7","",".","1.1","",".",".",".",".",".","."
"Graduate","","649","3.733","70.0","8.8","6.3","2.3","1.5","1.2","0.5","6.9","",".","0.8","",".","1.5","0.2",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","10451","3.005","33.4","12.3","23.7","7.4","13.2","5.6","2.9","0.5","",".","0.5","",".","0.1","0.3","0.0",".","0.0"
