"","681
009","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","681
010","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","681
011","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","Dept. Total","209","3.900","91.9","2.4","1.0","",".","1.0","",".","1.4","",".","",".",".","",".","2.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","106","3.844","91.5","4.7",".","",".","0.9","",".","2.8","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","62","3.952","96.8",".","1.6","",".","1.6","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","17","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","24","3.947","75.0",".","4.2","",".",".","",".",".","",".","",".",".","",".","20.8","",".",".",".","."
"Undergraduates","","209","3.900","91.9","2.4","1.0","",".","1.0","",".","1.4","",".","",".",".","",".","2.4","",".",".",".","."
"","Dept. Total","209","3.900","91.9","2.4","1.0","",".","1.0","",".","1.4","",".","",".",".","",".","2.4","",".",".",".","."
