"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","98","3.411","48.0","16.3","14.3","9.2","9.2","1.0",".",".",".",".",".",".","2.0",".",".","."
"General Botany","130","001","140","2.993","24.3","8.6","39.3","5.7","13.6","4.3","1.4",".",".",".",".",".","0.7","2.1",".","."
"","151","001","7","2.929",".","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","151","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","10","2.750",".","10.0","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","6","3.083","16.7",".","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Humans","240","001","39","3.395","46.2","15.4","23.1","5.1","2.6","5.1",".","2.6",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","61","3.451","57.4","9.8","19.7","1.6","8.2","1.6","1.6",".",".",".",".",".",".",".",".","."
"Rainforests and Coral Reefs","265","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Anatomy","300","001","30","3.017","23.3","20.0","26.7","10.0","16.7",".","3.3",".",".",".",".",".",".",".",".","."
"Algae","330","001","24","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","19","3.806","73.7","15.8",".",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Plant Cell Cult. & Genet. Eng.","340","001","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology","370","001","73","3.979","98.6",".",".","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","48","3.685","62.5","10.4","18.8","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Dendrology","402","001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Field Collectns&Identifictn","403","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","12","3.042","8.3","16.7","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","28","3.480","46.4","10.7","17.9","10.7","3.6",".",".","10.7",".",".",".",".",".",".",".","."
"General Ecology","460","001","26","3.269","23.1","42.3","15.4","3.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"","499","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Special Topics","575","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Biochemistry","621","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","11","3.750","54.5",".","18.2",".",".",".",".",".",".",".",".",".",".","27.3",".","."
"","681","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","691","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 197 of 469",""
