"ENGR MECHANICS & AEROSPA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Special Topics: Engr Mech
601","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements
605","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Plasticity Theory and Physics
703","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr
759","001","","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"890","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis
990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"346
E M A","Dept. Total","","857","3.103","32.4","19.6","20.3","11.8","8.5","4.0","1.5","1.4",".",".",".","0.1","0.2",".",".","0.1"
