"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.395","42.1","31.6","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","101
002","14","2.286","7.1","14.3","28.6","14.3","7.1","14.3","14.3",".",".",".",".",".",".",".",".","."
"","101
003","13","3.231","46.2","23.1","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","101
004","10","3.700","80.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","10","2.950","20.0","40.0","10.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","66","3.106","37.9","22.7","12.1","10.6","6.1","4.5","6.1",".",".",".",".",".",".",".",".","."
"","102
001","21","3.310","38.1","33.3","4.8","19.0",".",".","4.8",".",".",".",".",".",".",".",".","."
"","102
002","13","3.192","7.7","53.8","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","34","3.265","26.5","41.2","8.8","17.6","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"First Semester Dutch","111
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","17","3.471","41.2","35.3","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
004","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","54","3.657","55.6","29.6","7.4","5.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"","204
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","10","3.400","50.0","20.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","23","3.739","78.3","8.7",".","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","6","3.500","66.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001","12","3.864","75.0","8.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","249
002","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","32","3.774","62.5","28.1","3.1","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"","258
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","30","3.833","76.7","13.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","80","3.706","58.8","28.8","10.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","267
002","24","3.500","62.5","16.7","4.2","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","267
003","72","3.806","69.4","22.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","30","3.633","70.0","6.7","20.0",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Yiddish Song and Jewish Exp","Course Total","206","3.696","64.6","21.8","10.2","1.0","1.5",".","1.0",".",".",".",".",".",".",".",".","."
"","276
001","14","3.536","57.1","7.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","276
002","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","276
003","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
004","22","3.950","81.8","9.1",".",".",".",".",".","4.5",".",".",".",".","4.5",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","61","3.814","77.0","9.8","4.9","3.3","1.6",".",".","1.6",".",".",".",".","1.6",".",".","."
"Topics in German Culture","278
001","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
