"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","55","3.491","54.5","21.8","10.9","7.3",".","3.6","1.8",".",".",".",".",".",".",".",".","."
"","100
002","53","3.208","30.2","26.4","18.9","11.3","9.4","3.8",".",".",".",".",".",".",".",".",".","."
"General Anthropology","Course Total","108","3.352","42.6","24.1","14.8","9.3","4.6","3.7","0.9",".",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102
001","160","3.566","51.3","20.0","14.4","4.4","3.1","1.3",".",".",".",".",".",".",".",".","5.6","."
"","104
001","380","3.809","82.9","8.9","2.9","1.3","2.6","0.8","0.5",".",".",".",".",".",".",".",".","."
"","104
002","402","3.797","78.9","12.4","4.7","1.2","1.7",".","1.0",".",".",".",".",".",".",".",".","."
"","104
007","16","3.656","62.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
011","21","3.905","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","104
018","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
031","13","3.731","76.9","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","104
032","18","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","104
033","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","104
039","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","902","3.808","81.2","10.3","3.8","1.8","2.0","0.3","0.7",".",".",".",".",".",".",".",".","."
"","105
001","275","3.407","38.2","33.1","11.6","8.7","6.2","1.8",".",".",".",".",".",".","0.4",".",".","."
"","105
002","273","3.458","38.8","37.4","9.9","7.0","4.8","1.8",".",".",".",".",".",".",".",".","0.4","."
"","105
011","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","565","3.446","39.8","34.5","10.6","7.6","5.3","1.8",".",".",".",".",".",".","0.2",".","0.2","."
"Principles of Archaeology","212
001","64","3.804","75.0","4.7","3.1","1.6",".","3.1",".","12.5",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","17","3.029","23.5","35.3","5.9","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","37","3.943","83.8","10.8",".",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"Human Skeletal Anatomy","303
001","10","2.900","30.0",".","30.0",".","40.0",".",".",".",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321
001","25","2.900","28.0","4.0","16.0","4.0","24.0",".","4.0","16.0",".",".",".",".",".","4.0",".","."
"Topics in Ethnology","330
001","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Arch of Warfare & Hum Nature","339
001","51","3.908","86.3","5.9","2.0",".","2.0",".",".","3.9",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Museum Studies-Anthro","405
001","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","14","3.385","42.9","7.1","28.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"American Indian Women","437
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Symbolic Anthropology","456
001","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","458
001","39","3.158","28.2","20.5","25.6","10.3","7.7","5.1",".","2.6",".",".",".",".",".",".",".","."
"","458
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primate Behavioral Ecology","Course Total","41","3.200","31.7","19.5","24.4","9.8","7.3","4.9",".","2.4",".",".",".",".",".",".",".","."
"","490
001","13","3.731","76.9","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","490
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","20","3.800","80.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Probs-Paleoanthro","605
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology of Mind","619
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
