"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501
001","95","3.968","93.7","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Surgery","630
001","94","3.234","27.7","13.8","42.6","9.6","6.4",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Diagnostic Imaging","638
001","94","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","642
001","36","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","15","4.000","6.7",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","."
"","645
001","37","4.000","43.2",".",".",".",".",".",".","56.8",".",".",".",".",".",".",".","."
"","645
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","38","4.000","44.7",".",".",".",".",".",".","55.3",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","35","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","38","4.000","76.3",".",".",".",".",".",".","23.7",".",".",".",".",".",".",".","."
"","675
003","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
008","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
028","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
029","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","103","4.000","43.7",".",".",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"Directed Study","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","710
001","24","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","710
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Species Rotation","Course Total","25","4.000","84.0",".",".",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","711
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SA Radiation Oncology","714
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","24","4.000","79.2",".",".",".",".",".",".","16.7",".",".",".",".","4.2",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
001","17","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"","750
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","Course Total","18","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Rsch Ethics&Career Development","812
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
