"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Consumer Engagement Strategies","561
001","60","3.908","85.0","11.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
001","64","3.547","31.3","53.1","10.9","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"","562
002","61","3.566","39.3","44.3","8.2","6.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","Course Total","125","3.556","35.2","48.8","9.6","4.8","1.6",".",".",".",".",".",".",".",".",".",".","."
"","564
001","54","3.231","31.5","35.2","9.3","7.4","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","564
002","56","3.268","30.4","35.7","16.1","7.1","5.4","3.6","1.8",".",".",".",".",".",".",".",".","."
"","564
003","53","3.019","32.1","22.6","15.1","7.5","9.4","11.3","1.9",".",".",".",".",".",".",".",".","."
"","564
103","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","167","3.165","30.5","30.5","15.0","7.2","9.0","6.6","1.2",".",".",".",".",".",".",".",".","."
"","567
001","55","3.809","70.9","20.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","567
002","64","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","567
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Product Development Strategies","Course Total","121","3.872","80.2","14.0","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","40","3.875","80.0","17.5",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","52","3.317","42.3","19.2","13.5","17.3","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","627
002","53","3.500","52.8","20.8","13.2","3.8","7.5","1.9",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","105","3.410","47.6","20.0","13.3","10.5","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","657
001","64","3.773","65.6","28.1","3.1","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","657
002","65","3.777","73.8","15.4","4.6","4.6","1.5",".",".",".",".",".",".",".",".",".",".","."
"","657
003","62","3.524","32.3","46.8","14.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","657
004","47","3.383","17.0","51.1","25.5","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","657
104","19","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","257","3.623","48.2","34.6","11.7","4.3","1.2",".",".",".",".",".",".",".",".",".",".","."
"","665
001","45","3.733","57.8","31.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","665
002","46","3.685","65.2","17.4","8.7","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","Course Total","91","3.709","61.5","24.2","9.9","3.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"","675
001","16","3.125","18.8","43.8","6.3","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","675
101","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","25","3.360","36.0","36.0","8.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Fam Economic Policy","930
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
078","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
