"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Applied Equity Mkts Research 1","535
001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Valuation","635
002","52","3.202","42.3","15.4","15.4","5.8","17.3","1.9","1.9",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","645
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","650
001","24","3.542","45.8","25.0","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","35","3.700","54.3","31.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","36","3.681","50.0","36.1","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","55","3.791","65.5","27.3","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","37","3.662","48.6","35.1","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","163","3.718","55.8","31.9","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
060","48","3.573","56.3","20.8","16.7","2.1","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
050","39","3.436","46.2","17.9","23.1","2.6","10.3",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","730
060","48","3.500","43.8","22.9","20.8","8.3","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"Analysis Fixed Inc Securities","740
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
008","28","3.589","28.6","60.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","39","3.577","25.6","64.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"SecurityAnalysis&Invstmt Mgt I","835
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Finance","920
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"233
FINANCE","Dept. Total","2259","3.340","32.8","25.6","19.8","8.0","5.7","1.1","0.4","0.1",".","6.1","0.1",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sophomore","","119","3.149","21.8","12.6","17.6","10.1","5.9","0.8","1.7",".",".","29.4",".",".",".",".",".","."
"Junior","","617","3.267","29.8","24.5","17.8","9.6","9.7","1.1","0.2",".",".","6.8","0.2",".","0.3",".",".","."
"Senior","","1013","3.313","28.8","28.0","23.8","9.2","4.0","1.6","0.3",".",".","4.0","0.1",".","0.1",".",".","."
"Undergraduates","","1763","3.288","28.5","25.5","21.1","9.3","6.1","1.4","0.3",".",".","7.5","0.1",".","0.2",".",".","."
"Special","","58","3.023","22.4","20.7","20.7","5.2","15.5",".","3.4","5.2",".","6.9",".",".",".",".",".","."
"Graduate","","438","3.601","51.8","26.7","14.4","3.2","2.7","0.2","0.2",".",".","0.2","0.2",".","0.2",".",".","."
"","Dept. Total","2259","3.340","32.8","25.6","19.8","8.0","5.7","1.1","0.4","0.1",".","6.1","0.1",".","0.2",".",".","."
