"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Differential Geometry","765
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masters Thesis","790
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Real Analysis","821
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827
001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833
001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Representation Theory","843
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Geometric Topology","851
001","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Math Data Science","888
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Teaching Seminar","900
001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","921
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","921
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Analysis","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Topology","951
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","96
001","","24","2.083","20.8","16.7","4.2","8.3","8.3","16.7","25.0",".",".",".",".",".",".",".",".","."
"","96
002","","24","2.326","8.3","12.5","20.8","8.3","25.0","12.5","8.3",".",".",".",".",".","4.2",".",".","."
"","96
003","","29","2.810","13.8","17.2","41.4","6.9","10.3","3.4","6.9",".",".",".",".",".",".",".",".","."
"","96
004","","26","2.880","30.8","11.5","19.2","3.8","15.4","15.4",".",".",".",".",".",".","3.8",".",".","."
"","96
005","","24","2.688","12.5","20.8","37.5",".","16.7",".","12.5",".",".",".",".",".",".",".",".","."
"","96
006","","39","2.833","20.5","12.8","43.6",".","10.3","5.1","7.7",".",".",".",".",".",".",".",".","."
"","96
007","","24","3.333","45.8","12.5","25.0","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","96
008","","39","2.603","17.9","20.5","23.1","2.6","15.4","10.3","10.3",".",".",".",".",".",".",".",".","."
"","96
009","","20","3.300","45.0","10.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","96
010","","27","2.722","18.5","11.1","25.9","14.8","18.5","7.4","3.7",".",".",".",".",".",".",".",".","."
"","96
012","","27","2.269","7.4","14.8","29.6","7.4","11.1","7.4","18.5",".",".",".",".",".","3.7",".",".","."
"","96
013","","26","2.800","19.2","11.5","23.1","11.5","23.1","7.7",".",".",".",".",".",".","3.8",".",".","."
"","96
014","","13","2.462","15.4",".","30.8","15.4","15.4","23.1",".",".",".",".",".",".",".",".",".","."
"","96
015","","24","2.609","8.3","20.8","25.0","12.5","16.7","4.2","8.3",".",".",".",".",".","4.2",".",".","."
"","96
016","","25","2.780","24.0","16.0","20.0","12.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"","96
017","","28","2.732","25.0","7.1","35.7","10.7","3.6","7.1","10.7",".",".",".",".",".",".",".",".","."
"","96
018","","28","2.911","17.9","25.0","17.9","14.3","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"","96
019","","26","3.019","34.6","19.2","11.5","15.4","7.7","7.7","3.8",".",".",".",".",".",".",".",".","."
"","96
020","","20","2.875","25.0","25.0","20.0",".","15.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","96
021","","29","2.586","24.1","6.9","13.8","6.9","34.5","10.3","3.4",".",".",".",".",".",".",".",".","."
"","96
022","","13","2.192","7.7","23.1","7.7","15.4","15.4","15.4","15.4",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 293 of 469",""
