"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","94","3.628","51.1","25.5","22.3",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","94","2.952","13.8","9.6","47.9","14.9","11.7","2.1",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","15","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","16","4.000","56.3",".",".",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"","669
001","23","4.000","52.2",".",".",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"","669
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","Course Total","24","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"","670
001","47","4.000","72.3",".",".",".",".",".",".","27.7",".",".",".",".",".",".",".","."
"","670
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","48","4.000","72.9",".",".",".",".",".",".","27.1",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","34","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","675
004","17","",".",".",".",".",".",".",".","88.2",".",".",".",".","11.8",".",".","."
"","675
005","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
027","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
055","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
057","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","108","4.000","73.1",".",".",".",".",".",".","25.0",".",".",".",".","1.9",".",".","."
"","678
001","45","4.000","48.9",".",".",".",".",".",".","51.1",".",".",".",".",".",".",".","."
"","678
002","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","52","4.000","46.2",".",".",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
117","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","25","4.000","24.0",".",".",".",".",".",".","76.0",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"SA Emergency Medicine","710
001","27","4.000","74.1",".",".",".",".",".",".","25.9",".",".",".",".",".",".",".","."
"","714
001","37","4.000","29.7",".",".",".",".",".",".","67.6",".",".",".",".","2.7",".",".","."
"","714
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Care","Course Total","38","4.000","31.6",".",".",".",".",".",".","65.8",".",".",".",".","2.6",".",".","."
"","716
001","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","716
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SA WisCARES","Course Total","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
