"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","152","3.285","19.7","35.5","19.1","3.9","4.6","1.3","1.3","14.5",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102
001","121","3.427","22.3","28.9","14.9","5.8","0.8","0.8",".","25.6",".",".",".",".",".","0.8",".","."
"Intro-E Asian History:China","103
001","51","3.833","60.8","19.6",".",".","2.0",".",".","17.6",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104
001","36","3.150","16.7","30.6","19.4","11.1",".","2.8","2.8","16.7",".",".",".",".",".",".",".","."
"Hist:The Univ in the West","107
001","14","3.179","42.9","14.3","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Intro to US History","109
001","143","3.514","53.8","23.8","9.8","2.8","2.8","3.5","1.4","2.1",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110
001","63","3.321","33.3","30.2","15.9","1.6","1.6","1.6","4.8","11.1",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115
001","71","3.500","42.3","15.5","2.8","2.8","5.6","1.4","1.4","28.2",".",".",".",".",".",".",".","."
"Europe & the World, 1400-1815","119
001","31","3.630","54.8","22.6","3.2","3.2",".",".","3.2","6.5",".",".",".",".",".",".","6.5","."
"Europe&Mod World 1815-On","120
001","129","3.746","54.3","24.8","7.8","1.6",".",".",".","10.9",".",".",".",".","0.8",".",".","."
"Intro to World History","130
001","76","3.634","51.3","25.0","5.3","2.6","1.3","2.6",".","11.8",".",".",".",".",".",".",".","."
"Global Military History","133
001","107","3.489","37.4","29.0","13.1","3.7","0.9","1.9","0.9","13.1",".",".",".",".",".",".",".","."
"Women in World History","134
001","20","3.115","30.0","5.0","5.0",".","25.0",".",".","30.0",".",".",".",".","5.0",".",".","."
"Sport, Rec., & Society in U.S.","136
001","139","3.581","51.1","31.7","5.0","5.0","1.4","2.2","0.7","2.9",".",".",".",".",".",".",".","."
"Intro to Modern Middle East","139
001","84","3.683","47.6","23.8","10.7","1.2","1.2",".",".",".",".",".",".",".",".",".","15.5","."
"History of Race and Inequality","143
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The N. American West to 1850","151
001","107","3.854","82.2","10.3","2.8","1.9","1.9",".",".",".",".",".",".",".",".","0.9",".","."
"","200
001","13","3.500","46.2","7.7","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
003","8","3.000","25.0","25.0","37.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","200
004","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
006","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
008","11","3.273","36.4","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","200
009","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
010","7","2.714","57.1",".","14.3",".",".",".","28.6",".",".",".",".",".",".",".",".","."
"","200
011","20","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Historical Studies","Course Total","135","3.695","71.9","9.6","12.6","1.5","0.7",".","2.2","1.5",".",".",".",".",".",".",".","."
"","201
001","42","3.560","64.3","16.7","11.9",".","2.4",".","4.8",".",".",".",".",".",".",".",".","."
"","201
004","14","3.321","57.1","21.4","7.1",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","201
005","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","14","3.714","64.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","201
008","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","201
009","15","3.533","46.7","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
012","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
014","10","3.550","70.0","10.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","201
015","13","3.077","46.2","15.4","7.7",".","23.1",".","7.7",".",".",".",".",".",".",".",".","."
"","201
016","14","3.464","35.7","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","201
017","15","3.267","20.0","46.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
018","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 257 of 469",""
