"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"","999
045","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
086","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"736
PHILOS","Dept. Total","2170","3.625","58.9","21.2","8.8","3.8","2.4","1.2","0.7","1.0","",".",".","",".","0.6","0.8","0.5","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","253","3.636","60.5","22.1","7.5","4.3","4.3","0.8",".",".","",".",".","",".",".","0.4",".",".","."
"Sophomore","","714","3.623","61.5","21.3","7.7","4.1","2.8","1.3","1.0","0.1","",".",".","",".",".","0.1","0.1",".","."
"Junior","","573","3.579","54.5","24.3","12.4","4.4","1.9","1.7","0.7",".","",".",".","",".",".","0.2",".",".","."
"Senior","","507","3.658","60.4","20.7","8.5","3.4","2.0","1.2","0.6","0.2","",".",".","",".","1.2","1.6","0.2","0.2","."
"Undergraduates","","2047","3.620","59.1","22.1","9.2","4.0","2.5","1.3","0.7","0.1","",".",".","",".","0.3","0.5","0.1","0.0","."
"Special","","27","3.014","14.8","11.1",".","3.7","3.7",".","3.7","25.9","",".",".","",".",".","3.7","29.6","3.7","."
"Graduate","","94","3.930","67.0","4.3","2.1",".",".",".",".","13.8","",".",".","",".","8.5","4.3",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".",".","50.0",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".","50.0",".",".","."
"","Dept. Total","2170","3.625","58.9","21.2","8.8","3.8","2.4","1.2","0.7","1.0","",".",".","",".","0.6","0.8","0.5","0.1","."
