"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Intro to Media Production","355","001","144","3.455","24.3","54.2","15.3","3.5","2.1",".","0.7",".",".",".",".",".",".",".",".","."
"Sports Media","359","001","43","2.953","4.7","34.9","25.6","16.3","18.6",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","78","3.422","47.4","24.4","11.5","7.7","2.6","3.8","1.3","1.3",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","68","3.254","39.7","23.5","11.8","8.8","8.8","4.4","1.5",".",".",".",".",".",".","1.5",".","."
"Thry&Practice of Persuasion","368","001","87","3.060","27.6","13.8","28.7","6.9","13.8","2.3","2.3",".",".",".",".",".","1.1",".","3.4","."
"Rhetoric-Campaign&Revolutn","372","001","94","3.581","52.1","30.9","8.5","3.2","2.1",".","2.1","1.1",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","24","3.354","20.8","54.2","20.8",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Topics in Digital Studies","377","001","39","3.500","41.0","33.3","17.9",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","25","3.136","20.0","12.0","36.0","12.0","8.0",".",".",".",".",".",".",".","8.0","4.0",".","."
"Asian Americans and Media","420","001","18","3.556","38.9","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Cinema and Beyond","443","001","11","3.722","45.5","27.3","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Cultural Hist of Broadcasting","450","001","44","3.068","22.7","18.2","31.8","18.2","4.5","2.3","2.3",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","19","3.526","52.6","21.1","15.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.855","71.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","42","3.464","31.0","47.6","14.3","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","467","001","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","","Course Total","36","3.736","58.3","30.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Storytelling for Social Media","522","001","36","3.528","66.7","11.1","8.3","5.6","2.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"Contemporary Hollywood Cinema","552","001","67","3.193","17.9","23.9","23.9","14.9","3.0","1.5",".","14.9",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","19","3.395","42.1","21.1","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","81","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","608","001","21","3.452","61.9","14.3","14.3",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Special Topics in Production","609","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","613","001","13","3.577","53.8","30.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Field Exper in Communicatn","614","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","617","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617","002","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
