"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Electric Drive Sys","","Course Total","","69","3.319","40.6","18.8","21.7","7.2","10.1",".","1.4",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","412","001","","35","3.544","48.6","22.9","14.3","8.6","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","427","001","","41","3.288","39.0","14.6","17.1","17.1","9.8",".",".",".",".",".",".",".","2.4",".",".","."
"","427","003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","","Course Total","","50","3.408","48.0","14.0","14.0","14.0","8.0",".",".",".",".",".",".",".","2.0",".",".","."
"Introduction to Cryptography","435","001","","6","3.000","16.7",".","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","436","001","","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","","32","3.391","25.0","43.8","18.8","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445","001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","23","3.783","78.3","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454","001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","10","2.700",".","10.0","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","","Course Total","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","","23","3.587","30.4","56.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","8","3.125","25.0","12.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","532","001","","26","3.558","50.0","19.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","532","002","","16","3.438","43.8","37.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","532","004","","16","3.467","43.8","25.0","6.3","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","","58","3.500","46.6","25.9","15.5","6.9","1.7",".","1.7","1.7",".",".",".",".",".",".",".","."
"Image Processing","533","001","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","539","001","","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","539","002","","16","3.406","18.8","43.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","","Course Total","","29","3.431","20.7","44.8","34.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Microelectromech Sys","542","001","","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548","001","","17","3.471","17.6","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","80","3.281","26.3","36.3","17.5","15.0","1.3","3.8",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","60","3.364","36.7","26.7","16.7","11.7","5.0","1.7",".","1.7",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","76","3.336","25.0","30.3","32.9","10.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"Prob& InfoTheory in Mach Learn","561","001","","17","3.441","41.2","23.5","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","7","3.286","57.1",".","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","","Course Total","","16","3.596","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","610","001","","50","3.740","74.0","12.0","6.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","610","002","","59","3.754","67.8","20.3","6.8","5.1",".",".",".",".",".",".",".",".",".",".",".","."
