"Business of Acting","501
001","15","2.700","33.3",".","13.3","20.0","20.0","6.7","6.7",".","",".","",".",".","",".","",".",".",".","."
"Backstage Laboratory III","561
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Specl Topics-Theatre&Drama","619
001","8","4.000","87.5",".",".",".",".",".",".",".","",".","",".",".","",".","",".","12.5",".","."
"942
THEATRE","Dept. Total","878","3.761","80.0","6.8","5.8","2.1","2.4","0.8","0.8","",".","",".",".","",".","",".","0.9","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","134","3.732","76.1","7.5","9.0","3.0","1.5","1.5",".","",".","",".",".","",".","",".","0.7","0.7",".","."
"Sophomore","","221","3.765","80.1","6.8","5.4","1.8","3.2","0.5","1.4","",".","",".",".","",".","",".","0.5","0.5",".","."
"Junior","","217","3.775","78.3","8.8","6.9","1.4","2.3","0.9",".","",".","",".",".","",".","",".","1.4",".",".","."
"Senior","","283","3.817","84.8","5.7","3.9","2.1","1.8","0.7","0.4","",".","",".",".","",".","",".","0.7",".",".","."
"Undergraduates","","855","3.779","80.6","7.0","5.8","2.0","2.2","0.8","0.5","",".","",".",".","",".","",".","0.8","0.2",".","."
"Special","","16","2.629","43.8",".","6.3","6.3","6.3",".","18.8","",".","",".",".","",".","",".","6.3","6.3","6.3","."
"Graduate","","7","3.684","85.7",".",".",".","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","878","3.761","80.0","6.8","5.8","2.1","2.4","0.8","0.8","",".","",".",".","",".","",".","0.9","0.3","0.1","."
