"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210
001","","75","3.527","36.0","40.0","17.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt & Analys for Ind Eng","312
001","","61","3.467","44.3","21.3","21.3","9.8","3.3",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","","95","3.447","38.9","27.4","24.2","3.2","6.3",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315
001","","51","3.627","43.1","45.1","7.8","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320
001","","44","3.682","47.7","40.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","26","3.750","57.7","34.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","Course Total","","44","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323
001","","38","3.263","31.6","7.9","47.4","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"","348
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","","51","3.775","66.7","23.5","7.8","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350
001","","42","3.893","85.7","9.5","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412
001","","47","3.862","80.9","10.6","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Analys","415
001","","13","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417
001","","16","3.469","62.5","18.8","6.3",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","","17","3.000","11.8","23.5","35.3","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450
001","","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrch & Beyond in IE","478
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","489
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Facilities Planning","510
001","","23","3.696","65.2","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512
001","","30","3.383","43.3","20.0","13.3","16.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","17","3.647","47.1","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","517
002","","16","3.531","56.3","18.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","Course Total","","33","3.591","51.5","30.3","6.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","520
001","","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","520
002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","Course Total","","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
001","","40","3.679","47.5","37.5","12.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"","521
002","","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"ML in Action for IEs","Course Total","","56","3.645","46.4","33.9","17.9",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","","8","3.125","25.0","37.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Factors Engineering","549
001","","59","3.941","93.2","1.7","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
001","","39","3.910","87.2","7.7","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 142 of 469",""
