"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","448
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
007","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
009","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","93","3.907","90.3","7.5",".","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","454
001","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","454
002","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","Course Total","24","3.667","54.2","25.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Branding Design","458
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Graphics","463
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Posters","467
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in 4D Art","470
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","508
001","118","3.930","82.2","5.1","2.5","0.8",".",".",".","6.8",".",".",".",".","2.5",".",".","."
"","508
002","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Art","Course Total","138","3.909","80.4","7.2","3.6","0.7",".",".",".","5.8",".",".",".",".","2.2",".",".","."
"Advanced Drawing I","512
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Publication Design","546
001","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience for Design","575
001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Advanced Drawing II","612
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 2","614
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","622
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","Course Total","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
