"AFRICAN CULTURAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Swahili
435","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning
670","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar
671","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study
699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Writing Afri Cultr Std
700","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching African Languages
703","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit
901","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
