"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","128","3.752","84.4","3.9","3.1","3.1","1.6","0.8","2.3",".",".",".",".",".",".",".","0.8","."
"","100
002","20","3.500","65.0","10.0",".","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","100
003","16","3.767","81.3",".",".","6.3","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"","100
004","12","3.708","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Experiencing Theatre","Course Total","176","3.711","81.3","4.0","3.4","4.5","3.4","0.6","1.7",".",".",".",".",".",".","0.6","0.6","."
"Intro-Theatre & Dramatic Lit","120
001","121","3.783","76.0","13.2","4.1","3.3","1.7","0.8",".",".",".",".",".",".","0.8",".",".","."
"Fund of Theatrical Design","130
001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","19","3.444","68.4",".","10.5",".","10.5",".","5.3",".",".",".",".",".","5.3",".",".","."
"Voice1 Effective Communication","Course Total","36","3.600","66.7","11.1","11.1",".","5.6",".","2.8",".",".",".",".",".","2.8",".",".","."
"","150
002","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","150
003","18","3.824","88.9",".",".",".",".","5.6",".",".",".",".",".",".",".","5.6",".","."
"","150
004","15","3.667","66.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","16","3.750","75.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","150
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","89","3.787","83.1","3.4","5.6","2.2","1.1","1.1","1.1",".",".",".",".",".","1.1","1.1",".","."
"Technical Theatre Fundamentals","160
001","31","3.645","64.5","19.4","12.9",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","162
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Experience","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","31","3.758","87.1","3.2","3.2",".",".","6.5",".",".",".",".",".",".",".",".",".","."
"","200
002","31","3.919","93.5","3.2",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","200
003","32","3.844","87.5",".","9.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","200
004","31","3.661","71.0",".","22.6","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","125","3.796","84.8","1.6","8.8","0.8","2.4","1.6",".",".",".",".",".",".",".",".",".","."
"","219
001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
002","15","3.321","33.3","20.0","33.3",".",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"Undergrad Topics-","Course Total","27","3.538","51.9","14.8","25.9",".",".","3.7",".",".",".",".",".",".","3.7",".",".","."
"Scenic Studio Practicum","220
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","13","3.875","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","250
002","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","28","3.870","82.1","3.6","10.7",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","342
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","Course Total","14","3.888","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 113 of 469",""
