"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","117","3.547","46.2","23.1","25.6","4.3","0.9",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","53","3.670","66.0","17.0","11.3","3.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","41","3.427","34.1","26.8","29.3","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","21","3.475","33.3","33.3","19.0","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"","321","002","21","3.381","33.3","19.0","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","42","3.427","33.3","26.2","28.6","9.5",".",".",".","2.4",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","33","3.288","36.4","18.2","21.2","15.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","52","3.644","57.7","30.8","5.8","1.9","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","53","3.632","47.2","34.0","17.0","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","36","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","44","3.693","54.5","34.1","6.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","23","3.652","60.9","26.1","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","40","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","001","28","3.679","60.7","14.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","32","3.452","40.6","25.0","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","3.1","."
"Simulation Modeling & Analysis","620","001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","19","3.289","31.6","31.6","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","632","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Tools & Envirnmt-Optimizatn","635","001","36","3.569","50.0","19.4","25.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"","699","036","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
