"","999
057","5","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
061","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
063","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","25","4.000","92.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","8.0",".",".","."
"ELPA
305","Dept. Total","504","3.930","66.1","7.1","1.4",".","",".","",".","",".","17.9","",".",".","",".","2.0","5.4",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.969","93.8","6.3",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","5","3.769","60.0","40.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","14","3.583","21.4","57.1","7.1",".","",".","",".","",".",".","",".",".","",".",".","14.3",".",".","."
"Senior","","12","3.500","8.3","66.7","8.3",".","",".","",".","",".",".","",".",".","",".",".","16.7",".",".","."
"Undergraduates","","47","3.647","46.8","40.4","4.3",".","",".","",".","",".",".","",".",".","",".",".","8.5",".",".","."
"Special","","20","3.921","85.0","5.0","5.0",".","",".","",".","",".","5.0","",".",".","",".",".",".",".",".","."
"Graduate","","425","3.959","65.4","3.5","0.9",".","",".","",".","",".","20.9","",".","1.4","",".","2.4","5.2",".","0.2","."
"Prof Yr 3","","17","3.969","88.2","5.9",".",".","",".","",".","",".",".","",".",".","",".",".","5.9",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","18","3.969","88.9","5.6",".",".","",".","",".","",".",".","",".",".","",".",".","5.6",".",".","."
"","Dept. Total","510","3.930","65.3","7.1","1.4",".","",".","",".","",".","17.6","",".","1.2","",".","2.0","5.3",".","0.2","."
