"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the Qur'an","206","001","","21","3.925","81.0","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Genres-Westrn Relig Writing","234","001","","35","3.132","17.1","31.4","25.7","11.4","8.6","2.9",".",".",".",".",".",".","2.9",".",".","."
"Genres-Asian Religious Writing","235","001","","22","3.310","18.2","27.3","45.5","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","35","3.044","34.3","20.0","11.4","11.4","11.4","2.9","5.7","2.9",".",".",".",".",".",".",".","."
"Food in Rabbinic Judasim","278","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Social&Intel Hist 1200-1450","318","001","","12","3.722","50.0","8.3","16.7",".",".",".",".","16.7",".",".",".",".",".","8.3",".","."
"Prophets of the Bible","332","001","","63","3.342","31.7","34.9","12.7","4.8","1.6",".","4.8","7.9","1.6",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361","001","","56","3.102","23.2","25.0","19.6","12.5","12.5","3.6",".","1.8",".",".",".",".",".","1.8",".","."
"Intro to Confucianism","363","001","","11","3.100",".","45.5","27.3","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","38","3.389","31.6","26.3","26.3","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","","26","2.981","19.2","34.6","19.2","7.7","3.8","15.4",".",".",".",".",".",".",".",".",".","."
"","400","001","","11","3.500","27.3","27.3","27.3",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"","400","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","005","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","","26","3.712","50.0","26.9","15.4",".",".",".",".","3.8",".",".",".",".",".",".","3.8","."
"Thought of Gandhi","402","001","","48","2.962","10.4","16.7","25.0","14.6","14.6",".",".","10.4",".",".",".",".","6.3","2.1",".","."
"Survey of Tibetan Buddhism","421","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Relig Prac-Medievl Japan","478","001","","6","3.400","33.3",".","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Religion-Critical Perspective","600","001","","9","3.214","33.3","33.3",".",".",".",".","11.1",".",".",".",".",".","11.1",".","11.1","."
"Hindu Law","628","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","","12","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"","697","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","","11","3.700","63.6","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","9.1","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
