"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"","999
010","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"RP & SE
194","Dept. Total","704","3.874","77.1","12.2","3.6","0.4","",".","0.1","0.1","1.6","0.3",".","",".","2.7","1.3",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.692","64.1","23.1","7.7","2.6","",".","2.6",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","90","3.848","74.4","18.9","5.6",".","",".",".",".",".",".",".","",".",".","1.1",".",".","."
"Junior","","127","3.846","75.6","17.3","4.7","0.8","",".",".",".",".",".",".","",".",".","1.6",".",".","."
"Senior","","167","3.914","83.8","12.0","2.4","0.6","",".",".",".",".",".",".","",".",".","1.2",".",".","."
"Undergraduates","","423","3.864","77.5","16.1","4.3","0.7","",".","0.2",".",".",".",".","",".",".","1.2",".",".","."
"Special","","3","4.000","66.7",".",".",".","",".",".",".",".",".",".","",".",".","33.3",".",".","."
"Graduate","","279","3.891","76.3","6.5","2.5",".","",".",".","0.4","3.9","0.7","0.4","",".","6.8","1.1",".","1.4","."
"","Dept. Total","705","3.874","77.0","12.2","3.5","0.4","",".","0.1","0.1","1.6","0.3","0.1","",".","2.7","1.3",".","0.6","."
