"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116","001","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","003","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","59","3.797","66.1","27.1","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","108","3.509","49.1","27.8","12.0","5.6","3.7",".","1.9",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","40","3.225","20.0","30.0","32.5","10.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"","197","001","26","3.885","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197","002","24","3.696","66.7","16.7","8.3",".",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"Technique-Athletic Training","","Course Total","50","3.796","74.0","16.0","6.0",".",".","2.0",".",".",".",".",".",".","2.0",".",".","."
"","300","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","23","3.909","91.3",".",".",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","300","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","37","3.880","86.5","5.4","2.7",".","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"Physiology of Exercise","314","001","60","3.392","20.0","41.7","36.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","12","3.417","58.3","8.3","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","57","3.429","50.9","14.0","12.3","14.0","5.3","1.8",".",".",".",".",".",".","1.8",".",".","."
"","323","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","55","3.373","32.7","23.6","34.5","3.6","5.5",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","59","3.525","42.4","33.9","16.9","3.4","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies I","357","001","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","30","3.800","73.3","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","40","3.300","35.0","20.0","27.5","10.0","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Secondary PE","462","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","7","3.300","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".","28.6",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","7","3.750","14.3","14.3",".",".",".",".",".",".",".",".",".",".","71.4",".",".","."
"Seminar-Athletic Training","499","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508","001","23","3.886","78.3","13.0","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
