"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","9","3.167","11.1","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"410
Radiobiology","001","","35","3.530","25.7","48.6","20.0",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"471
Topics-Medical Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Patient Safety&Error Reduction","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","20","3.474","40.0","20.0","30.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","27","3.521","37.0","37.0","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"575
Diagnos Ultrasound Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Rad Lab - Health Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Rad Lab-Med Ultrasound Phys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","15","",".",".",".",".",".",".",".","6.7",".",".",".","93.3",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","7","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"990","067","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
