"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","8878","3.518","41.0","18.4","14.7","1.9","1.8","0.7","0.3","13.9","0.1","4.3",".","0.8","0.6","0.0","1.3","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.556","48.1","22.2","22.2","3.7",".",".",".",".",".",".",".",".",".",".","3.7","."
"Sophomore","","188","3.176","48.9","22.3","13.3","2.1","4.3","5.3","2.1",".",".",".",".",".",".",".","1.6","."
"Junior","","687","3.239","48.8","17.0","15.6","3.6","8.0","3.5","1.5",".",".","0.1",".",".","0.1","0.1","1.6","."
"Senior","","1783","3.462","55.4","16.0","17.6","2.5","4.2","1.7","0.6","0.4",".","0.2",".","0.1","0.7","0.1","0.6","0.1"
"Undergraduates","","2685","3.382","53.2","16.8","16.8","2.8","5.1","2.4","0.9","0.3",".","0.2",".","0.0","0.5","0.1","0.9","0.0"
"Special","","166","3.367","44.6","14.5","22.9","2.4","3.0",".","1.8","2.4",".","0.6",".",".","4.8","0.6","1.8","0.6"
"Graduate","","1461","3.760","43.1","11.2","4.2","0.8","0.3","0.1","0.1","27.9","0.1","2.5",".","4.6","0.3",".","4.8","."
"Prof Yr 1","","1445","3.594","20.7","16.4","3.9","1.5","0.2",".",".","47.3","0.3","8.9",".",".","0.7",".",".","."
"Prof Yr 2","","1686","3.545","39.0","23.1","28.2","2.9","0.4",".",".","1.5","0.1","4.4",".","0.1","0.1",".","0.1","0.1"
"Prof Yr 3","","536","3.495","24.6","27.1","20.0","0.6",".",".",".","1.5",".","22.9",".",".",".",".","2.1","1.3"
"Prof Yr 4","","932","3.702","48.9","23.8","12.0","0.3",".",".","0.1","10.9",".","1.7",".","0.1","1.2",".","0.8","0.1"
"Professionals","","4599","3.581","33.6","21.6","16.4","1.7","0.2",".","0.0","17.8","0.1","7.4",".","0.0","0.5",".","0.4","0.2"
"","College Total","8911","3.518","41.3","18.3","14.6","1.9","1.8","0.7","0.3","13.9","0.1","4.3",".","0.8","0.5","0.0","1.3","0.1"
